CALENDAR_MONTH_END_DATE,APC_Finished_Consultant,APC_FCEs_with_a_procedure,APC_Percent_FCEs_with_procedure,APC_Ordinary_Episodes,APC_Day_Case_Episodes,APC_Day_Case_Episodes_with_proc,APC_Percent_Day_Cases_with_proc,APC_Finished_Admission_Episodes,APC_Emergency,Outpatient_Total_Appointments,Outpatient_Attended_Appointments,Outpatient_Percent_Attended,Outpatient_DNA_Appointment,Outpatient_Percent_DNA,Outpatient_Follow_Up_Attendance,Outpatient_Attendance_Type_1,Outpatient_Attendance_Type_2
FEB17,1551932,941880,0.61,979510,572422,541820,0.95,1296277,453487,9371798,7456806,0.8,592799,.06,2.2278037,2302188,5128823
JAN17,1662542,986073,0.59,1061402,601140,568925,0.95,1380585,499229,10137971,8039995,.79,683934,.07,2.2499062,2465301,5546696
DEC16,1599382,929480,0.58,1057897,541485,512372,0.95,1327208,503406,8868694,6973278,.79,604696,.07,2.2093388,2165174,4783603
NOV16,1699903,1033394,0.61,1067212,632691,599062,0.95,1429895,498680,10582893,8443102,0.8,701045,.07,2.2098187,2620987,5791906
OCT16,1654372,993693,0.6,1063120,591252,559550,0.95,1389153,496740,9870356,7828198,.79,654394,.07,2.1893753,2446233,5355722
SEP16,1639572,999801,0.61,1039461,600111,568616,0.95,1384090,482852,10136089,7991899,.79,693707,.07,2.2085265,2482625,5482943
AUG16,1623829,987564,0.61,1034914,588915,557810,0.95,1362976,478376,9748156,7688644,.79,671079,.07,2.2017479,2393378,5269615
JUL16,1641434,989612,0.6,1061064,580370,549792,0.95,1382493,493733,9516030,7514599,.79,659145,.07,2.199965,2340115,5148171
JUN16,1661686,1014759,0.61,1050786,610900,579290,0.95,1402133,487720,10257542,8107893,.79,715847,.07,2.1934853,2529954,5549417
MAY16,1629157,976138,0.6,1053678,575479,545785,0.95,1372030,497322,9697897,7736322,0.8,659739,.07,2.195304,2411983,5295036
APR16,1598233,968004,0.61,1023352,574881,546129,0.95,1339496,474179,9702261,7659009,.79,630516,.06,2.2425111,2352861,5276317
MAR16,1641758,969164,0.59,1059111,582647,550445,0.94,1380794,505045,9531451,7473473,.78,616747,.06,2.2721288,2274710,5168434
FEB16,1598060,962813,0.6,1015602,582458,551749,0.95,1344487,475966,9501460,7528731,.79,601431,.06,2.2576557,2301742,5196541
JAN16,1597911,947813,0.59,1031928,565983,535774,0.95,1342485,489298,9374648,7415963,.79,624165,.07,2.2923264,2243208,5142165
DEC15,1595762,936397,0.59,1050019,545743,516973,0.95,1334987,501690,8971985,7020770,.78,609564,.07,2.2661562,2141122,4852117
NOV15,1623242,979726,0.6,1033601,589641,558153,0.95,1373149,482954,9716978,7734681,0.8,642444,.07,2.269452,2356030,5346897
OCT15,1660495,1008665,0.61,1061978,598517,566317,0.95,1404403,489541,9819155,7771027,.79,655394,.07,2.2614719,2373100,5366699
SEP15,1612957,982969,0.61,1023763,589194,557967,0.95,1365729,472760,9902583,7780284,.79,680785,.07,2.2683227,2371622,5379604
AUG15,1517430,917972,0.6,986400,531030,503831,0.95,1284766,455093,8564253,6747726,.79,574785,.07,2.2412915,2073542,4647412
JUL15,1665459,1027107,0.62,1056539,608920,577258,0.95,1411859,482645,9988832,7858309,.79,669421,.07,2.2665822,2395831,5430348
JUN15,1631549,1004469,0.62,1031419,600130,569743,0.95,1382703,473174,10027010,7922440,.79,663923,.07,2.24267,2433342,5457183
MAY15,1549830,933407,0.6,1011522,538308,511110,0.95,1316717,471937,8713709,6896069,.79,574700,.07,2.2731364,2098197,4769488
APR15,1545155,935986,0.61,990745,554410,526331,0.95,1309762,464662,9186597,7286985,.79,606470,.07,2.3070738,2188780,5049677
MAR15,1641578,1001810,0.61,1042240,599338,568123,0.95,1395992,483397,9468183,7579144,0.8,636175,0.1,2.3031969,2284146,5260838
FEB15,1480630,907625,0.61,943806,536824,509928,0.95,1255228,431359,8571154,6857941,0.8,574412,0.1,2.3183591,2056907,4768649
JAN15,1572128,942985,0.6,1017723,554405,526554,0.95,1323065,471515,9152749,7295473,0.8,641340,0.1,2.3254189,2183936,5078566
DEC14,1564225,907710,0.58,1044711,519514,492710,0.95,1314576,499204,8558088,6743490,0.8,607128,0.1,2.2810859,2051177,4678911
NOV14,1548034,936752,0.61,1002242,545792,517869,0.95,1320448,465353,8849249,7099120,0.8,614830,0.1,2.2862664,2156540,4930425
OCT14,1646172,1008998,0.61,1059004,587168,556970,0.95,1402219,483453,9666947,7702577,0.8,672113,0.1,2.2845815,2342693,5352073
SEP14,1571544,962756,0.61,1011813,559731,531215,0.95,1339458,462154,9377011,7456610,0.8,661864,0.1,2.2815891,2267407,5173291
AUG14,1469553,890603,0.61,969458,500095,475774,0.95,1248078,442377,7942506,6315225,0.8,565021,0.1,2.2947358,1912109,4387785
JUL14,1627591,999809,0.61,1049661,577930,549357,0.95,1383165,478134,9513332,7601588,0.8,669386,0.1,2.2808792,2309178,5266956
JUN14,1545674,941619,0.61,1003888,541786,515910,0.95,1312173,461137,8965598,7198496,0.8,630476,0.1,2.2694279,2194509,4980280
MAY14,1552142,933352,0.6,1024638,527504,501667,0.95,1316346,475613,8562573,6897413,0.8,591879,0.1,2.2953309,2085989,4788035
APR14,1512716,907894,0.6,989730,522986,497358,0.95,1281709,462011,8561033,6884624,0.8,578325,0.1,2.3216082,2065594,4795500
MAR14,1575227,951986,0.6,1025931,549296,522393,0.95,1339806,473344,8501486,6903235,0.8,562935,0.1,2.3165634,2080484,4819573
FEB14,1454296,883981,0.61,941944,512352,486913,0.95,1237303,431233,8025073,6520159,0.8,535510,0.1,2.3446626,1948616,4568847
JAN14,1587637,965578,0.61,1024755,562882,535827,0.95,1347836,471403,9009367,7311546,0.8,624284,0.1,2.3833058,2160265,5148572
DEC13,1473687,857010,0.58,997801,475886,452484,0.95,1245439,473900,7628994,6106443,0.8,545377,0.1,2.3406693,1826930,4276239
NOV13,1525320,934315,0.61,986028,539292,513209,0.95,1301594,447993,8610288,6982538,0.8,592544,0.1,2.3553202,2079927,4898894
OCT13,1591399,977661,0.61,1026740,564659,537581,0.95,1356817,463341,9251066,7430950,0.8,646898,0.1,2.3532966,2214921,5212366
SEP13,1474508,899977,0.61,960088,514420,489483,0.95,1258262,433238,8533330,6808409,0.8,617082,0.1,2.3401703,2037585,4768296
AUG13,1458656,888019,0.61,961458,497198,473733,0.95,1242409,434416,7902354,6310808,0.8,560844,0.1,2.3609377,1877097,4431709
