REPORTING_PERIOD,MEASURE_TYPE,MEASURE,MAINSPEF_CODE,MAINSPEF_DESCRIPTION,MEASURE_VALUE
2425,All Attendances by Age and Gender,0 All Genders,All,All,1245099
2425,All Attendances by Age and Gender,0 Female,All,All,575222
2425,All Attendances by Age and Gender,0 Male,All,All,667420
2425,All Attendances by Age and Gender,10-14 All Genders,All,All,3105108
2425,All Attendances by Age and Gender,10-14 Female,All,All,1468218
2425,All Attendances by Age and Gender,10-14 Male,All,All,1630276
2425,All Attendances by Age and Gender,1-4 All Genders,All,All,2146629
2425,All Attendances by Age and Gender,1-4 Female,All,All,921017
2425,All Attendances by Age and Gender,1-4 Male,All,All,1221690
2425,All Attendances by Age and Gender,15 All Genders,All,All,765376
2425,All Attendances by Age and Gender,15 Female,All,All,396506
2425,All Attendances by Age and Gender,15 Male,All,All,367038
2425,All Attendances by Age and Gender,16 All Genders,All,All,727045
2425,All Attendances by Age and Gender,16 Female,All,All,387162
2425,All Attendances by Age and Gender,16 Male,All,All,337901
2425,All Attendances by Age and Gender,17 All Genders,All,All,693675
2425,All Attendances by Age and Gender,17 Female,All,All,385040
2425,All Attendances by Age and Gender,17 Male,All,All,306264
2425,All Attendances by Age and Gender,18 All Genders,All,All,585880
2425,All Attendances by Age and Gender,18 Female,All,All,339808
2425,All Attendances by Age and Gender,18 Male,All,All,243781
2425,All Attendances by Age and Gender,19 All Genders,All,All,574206
2425,All Attendances by Age and Gender,19 Female,All,All,361572
2425,All Attendances by Age and Gender,19 Male,All,All,209908
2425,All Attendances by Age and Gender,20-24 All Genders,All,All,3501926
2425,All Attendances by Age and Gender,20-24 Female,All,All,2454207
2425,All Attendances by Age and Gender,20-24 Male,All,All,1032647
2425,All Attendances by Age and Gender,25-29 All Genders,All,All,5581675
2425,All Attendances by Age and Gender,25-29 Female,All,All,4309357
2425,All Attendances by Age and Gender,25-29 Male,All,All,1252126
2425,All Attendances by Age and Gender,30-34 All Genders,All,All,7282722
2425,All Attendances by Age and Gender,30-34 Female,All,All,5743105
2425,All Attendances by Age and Gender,30-34 Male,All,All,1516833
2425,All Attendances by Age and Gender,35-39 All Genders,All,All,6668984
2425,All Attendances by Age and Gender,35-39 Female,All,All,4927238
2425,All Attendances by Age and Gender,35-39 Male,All,All,1718801
2425,All Attendances by Age and Gender,40-44 All Genders,All,All,5568519
2425,All Attendances by Age and Gender,40-44 Female,All,All,3648443
2425,All Attendances by Age and Gender,40-44 Male,All,All,1897369
2425,All Attendances by Age and Gender,45-49 All Genders,All,All,5366460
2425,All Attendances by Age and Gender,45-49 Female,All,All,3295945
2425,All Attendances by Age and Gender,45-49 Male,All,All,2048053
2425,All Attendances by Age and Gender,50-54 All Genders,All,All,6803189
2425,All Attendances by Age and Gender,50-54 Female,All,All,4072678
2425,All Attendances by Age and Gender,50-54 Male,All,All,2703869
2425,All Attendances by Age and Gender,55-59 All Genders,All,All,8343203
2425,All Attendances by Age and Gender,55-59 Female,All,All,4709018
2425,All Attendances by Age and Gender,55-59 Male,All,All,3602166
2425,All Attendances by Age and Gender,5-9 All Genders,All,All,2782332
2425,All Attendances by Age and Gender,5-9 Female,All,All,1240525
2425,All Attendances by Age and Gender,5-9 Male,All,All,1536449
2425,All Attendances by Age and Gender,60-64 All Genders,All,All,9282302
2425,All Attendances by Age and Gender,60-64 Female,All,All,4931522
2425,All Attendances by Age and Gender,60-64 Male,All,All,4317240
2425,All Attendances by Age and Gender,65-69 All Genders,All,All,9145254
2425,All Attendances by Age and Gender,65-69 Female,All,All,4640125
2425,All Attendances by Age and Gender,65-69 Male,All,All,4474493
2425,All Attendances by Age and Gender,70-74 All Genders,All,All,9160941
2425,All Attendances by Age and Gender,70-74 Female,All,All,4593650
2425,All Attendances by Age and Gender,70-74 Male,All,All,4541176
2425,All Attendances by Age and Gender,75-79 All Genders,All,All,10095817
2425,All Attendances by Age and Gender,75-79 Female,All,All,5062514
2425,All Attendances by Age and Gender,75-79 Male,All,All,5008339
2425,All Attendances by Age and Gender,80-84 All Genders,All,All,7043418
2425,All Attendances by Age and Gender,80-84 Female,All,All,3628209
2425,All Attendances by Age and Gender,80-84 Male,All,All,3399938
2425,All Attendances by Age and Gender,85-89 All Genders,All,All,4294160
2425,All Attendances by Age and Gender,85-89 Female,All,All,2285293
2425,All Attendances by Age and Gender,85-89 Male,All,All,1999885
2425,All Attendances by Age and Gender,90-120 All Genders,All,All,1966672
2425,All Attendances by Age and Gender,90-120 Female,All,All,1156053
2425,All Attendances by Age and Gender,90-120 Male,All,All,807219
2425,All Attendances by Age and Gender,Age Unknown All Genders,All,All,494561
2425,All Attendances by Age and Gender,Age Unknown Female,All,All,254164
2425,All Attendances by Age and Gender,Age Unknown Male,All,All,208762
2425,First Attendances by Age and Gender,0 All Genders,All,All,639256
2425,First Attendances by Age and Gender,0 Female,All,All,290041
2425,First Attendances by Age and Gender,0 Male,All,All,348338
2425,First Attendances by Age and Gender,10-14 All Genders,All,All,1019800
2425,First Attendances by Age and Gender,10-14 Female,All,All,473804
2425,First Attendances by Age and Gender,10-14 Male,All,All,544123
2425,First Attendances by Age and Gender,1-4 All Genders,All,All,826790
2425,First Attendances by Age and Gender,1-4 Female,All,All,351742
2425,First Attendances by Age and Gender,1-4 Male,All,All,473661
2425,First Attendances by Age and Gender,15 All Genders,All,All,227006
2425,First Attendances by Age and Gender,15 Female,All,All,112255
2425,First Attendances by Age and Gender,15 Male,All,All,114274
2425,First Attendances by Age and Gender,16 All Genders,All,All,205101
2425,First Attendances by Age and Gender,16 Female,All,All,104341
2425,First Attendances by Age and Gender,16 Male,All,All,100235
2425,First Attendances by Age and Gender,17 All Genders,All,All,204076
2425,First Attendances by Age and Gender,17 Female,All,All,109990
2425,First Attendances by Age and Gender,17 Male,All,All,93479
2425,First Attendances by Age and Gender,18 All Genders,All,All,192638
2425,First Attendances by Age and Gender,18 Female,All,All,113065
2425,First Attendances by Age and Gender,18 Male,All,All,78829
2425,First Attendances by Age and Gender,19 All Genders,All,All,195950
2425,First Attendances by Age and Gender,19 Female,All,All,124705
2425,First Attendances by Age and Gender,19 Male,All,All,70282
2425,First Attendances by Age and Gender,20-24 All Genders,All,All,1224954
2425,First Attendances by Age and Gender,20-24 Female,All,All,853631
2425,First Attendances by Age and Gender,20-24 Male,All,All,366264
2425,First Attendances by Age and Gender,25-29 All Genders,All,All,1931246
2425,First Attendances by Age and Gender,25-29 Female,All,All,1453524
2425,First Attendances by Age and Gender,25-29 Male,All,All,471093
2425,First Attendances by Age and Gender,30-34 All Genders,All,All,2448564
2425,First Attendances by Age and Gender,30-34 Female,All,All,1859970
2425,First Attendances by Age and Gender,30-34 Male,All,All,581458
2425,First Attendances by Age and Gender,35-39 All Genders,All,All,2324212
2425,First Attendances by Age and Gender,35-39 Female,All,All,1669030
2425,First Attendances by Age and Gender,35-39 Male,All,All,648641
2425,First Attendances by Age and Gender,40-44 All Genders,All,All,2044192
2425,First Attendances by Age and Gender,40-44 Female,All,All,1341690
2425,First Attendances by Age and Gender,40-44 Male,All,All,696379
2425,First Attendances by Age and Gender,45-49 All Genders,All,All,1949483
2425,First Attendances by Age and Gender,45-49 Female,All,All,1221066
2425,First Attendances by Age and Gender,45-49 Male,All,All,722353
2425,First Attendances by Age and Gender,50-54 All Genders,All,All,2378313
2425,First Attendances by Age and Gender,50-54 Female,All,All,1457635
2425,First Attendances by Age and Gender,50-54 Male,All,All,913979
2425,First Attendances by Age and Gender,55-59 All Genders,All,All,2794965
2425,First Attendances by Age and Gender,55-59 Female,All,All,1619337
2425,First Attendances by Age and Gender,55-59 Male,All,All,1167555
2425,First Attendances by Age and Gender,5-9 All Genders,All,All,967252
2425,First Attendances by Age and Gender,5-9 Female,All,All,440592
2425,First Attendances by Age and Gender,5-9 Male,All,All,524903
2425,First Attendances by Age and Gender,60-64 All Genders,All,All,2987860
2425,First Attendances by Age and Gender,60-64 Female,All,All,1628473
2425,First Attendances by Age and Gender,60-64 Male,All,All,1350642
2425,First Attendances by Age and Gender,65-69 All Genders,All,All,2842860
2425,First Attendances by Age and Gender,65-69 Female,All,All,1484943
2425,First Attendances by Age and Gender,65-69 Male,All,All,1350126
2425,First Attendances by Age and Gender,70-74 All Genders,All,All,2804610
2425,First Attendances by Age and Gender,70-74 Female,All,All,1454265
2425,First Attendances by Age and Gender,70-74 Male,All,All,1343098
2425,First Attendances by Age and Gender,75-79 All Genders,All,All,3055205
2425,First Attendances by Age and Gender,75-79 Female,All,All,1584941
2425,First Attendances by Age and Gender,75-79 Male,All,All,1462995
2425,First Attendances by Age and Gender,80-84 All Genders,All,All,2134864
2425,First Attendances by Age and Gender,80-84 Female,All,All,1129365
2425,First Attendances by Age and Gender,80-84 Male,All,All,1001588
2425,First Attendances by Age and Gender,85-89 All Genders,All,All,1303118
2425,First Attendances by Age and Gender,85-89 Female,All,All,706078
2425,First Attendances by Age and Gender,85-89 Male,All,All,594935
2425,First Attendances by Age and Gender,90-120 All Genders,All,All,571340
2425,First Attendances by Age and Gender,90-120 Female,All,All,337120
2425,First Attendances by Age and Gender,90-120 Male,All,All,233330
2425,First Attendances by Age and Gender,Age Unknown All Genders,All,All,143598
2425,First Attendances by Age and Gender,Age Unknown Female,All,All,82303
2425,First Attendances by Age and Gender,Age Unknown Male,All,All,48673
2425,All Attendances by Age and Gender,0 All Genders,&,,32968
2425,All Attendances by Age and Gender,0 Female,&,,16162
2425,All Attendances by Age and Gender,0 Male,&,Not Known,16806
2425,All Attendances by Age and Gender,10-14 All Genders,&,,33615
2425,All Attendances by Age and Gender,10-14 Female,&,,14368
2425,All Attendances by Age and Gender,10-14 Male,&,Not Known,19247
2425,All Attendances by Age and Gender,1-4 All Genders,&,,65204
2425,All Attendances by Age and Gender,1-4 Female,&,,28655
2425,All Attendances by Age and Gender,1-4 Male,&,Not Known,36543
2425,All Attendances by Age and Gender,15 All Genders,&,,8262
2425,All Attendances by Age and Gender,15 Female,&,,4600
2425,All Attendances by Age and Gender,15 Male,&,Not Known,3662
2425,All Attendances by Age and Gender,16 All Genders,&,,8395
2425,All Attendances by Age and Gender,16 Female,&,,4710
2425,All Attendances by Age and Gender,16 Male,&,Not Known,3678
2425,All Attendances by Age and Gender,17 All Genders,&,,7254
2425,All Attendances by Age and Gender,17 Female,&,,4050
2425,All Attendances by Age and Gender,17 Male,&,Not Known,3202
2425,All Attendances by Age and Gender,18 All Genders,&,,2737
2425,All Attendances by Age and Gender,18 Female,&,,1308
2425,All Attendances by Age and Gender,18 Male,&,Not Known,1427
2425,All Attendances by Age and Gender,19 All Genders,&,,1941
2425,All Attendances by Age and Gender,19 Female,&,,986
2425,All Attendances by Age and Gender,19 Male,&,Not Known,955
2425,All Attendances by Age and Gender,20-24 All Genders,&,,8445
2425,All Attendances by Age and Gender,20-24 Female,&,,6498
2425,All Attendances by Age and Gender,20-24 Male,&,Not Known,1947
2425,All Attendances by Age and Gender,25-29 All Genders,&,,16229
2425,All Attendances by Age and Gender,25-29 Female,&,,13299
2425,All Attendances by Age and Gender,25-29 Male,&,Not Known,2919
2425,All Attendances by Age and Gender,30-34 All Genders,&,,22333
2425,All Attendances by Age and Gender,30-34 Female,&,,18239
2425,All Attendances by Age and Gender,30-34 Male,&,Not Known,4069
2425,All Attendances by Age and Gender,35-39 All Genders,&,,20296
2425,All Attendances by Age and Gender,35-39 Female,&,,15072
2425,All Attendances by Age and Gender,35-39 Male,&,Not Known,5221
2425,All Attendances by Age and Gender,40-44 All Genders,&,,14745
2425,All Attendances by Age and Gender,40-44 Female,&,,9162
2425,All Attendances by Age and Gender,40-44 Male,&,Not Known,5578
2425,All Attendances by Age and Gender,45-49 All Genders,&,,10522
2425,All Attendances by Age and Gender,45-49 Female,&,,5480
2425,All Attendances by Age and Gender,45-49 Male,&,Not Known,5040
2425,All Attendances by Age and Gender,50-54 All Genders,&,,11975
2425,All Attendances by Age and Gender,50-54 Female,&,,6000
2425,All Attendances by Age and Gender,50-54 Male,&,Not Known,5974
2425,All Attendances by Age and Gender,55-59 All Genders,&,,11917
2425,All Attendances by Age and Gender,55-59 Female,&,,6256
2425,All Attendances by Age and Gender,55-59 Male,&,Not Known,5661
2425,All Attendances by Age and Gender,5-9 All Genders,&,,24212
2425,All Attendances by Age and Gender,5-9 Female,&,,8326
2425,All Attendances by Age and Gender,5-9 Male,&,Not Known,15884
2425,All Attendances by Age and Gender,60-64 All Genders,&,,13491
2425,All Attendances by Age and Gender,60-64 Female,&,,7370
2425,All Attendances by Age and Gender,60-64 Male,&,Not Known,6118
2425,All Attendances by Age and Gender,65-69 All Genders,&,,10537
2425,All Attendances by Age and Gender,65-69 Female,&,,5514
2425,All Attendances by Age and Gender,65-69 Male,&,Not Known,5022
2425,All Attendances by Age and Gender,70-74 All Genders,&,,10992
2425,All Attendances by Age and Gender,70-74 Female,&,,5917
2425,All Attendances by Age and Gender,70-74 Male,&,Not Known,5074
2425,All Attendances by Age and Gender,75-79 All Genders,&,,14203
2425,All Attendances by Age and Gender,75-79 Female,&,,7527
2425,All Attendances by Age and Gender,75-79 Male,&,Not Known,6675
2425,All Attendances by Age and Gender,80-84 All Genders,&,,12180
2425,All Attendances by Age and Gender,80-84 Female,&,,6826
2425,All Attendances by Age and Gender,80-84 Male,&,Not Known,5353
2425,All Attendances by Age and Gender,85-89 All Genders,&,,8640
2425,All Attendances by Age and Gender,85-89 Female,&,,4805
2425,All Attendances by Age and Gender,85-89 Male,&,Not Known,3835
2425,All Attendances by Age and Gender,90-120 All Genders,&,,3789
2425,All Attendances by Age and Gender,90-120 Female,&,,2305
2425,All Attendances by Age and Gender,90-120 Male,&,Not Known,1484
2425,All Attendances by Age and Gender,Age Unknown All Genders,&,,29
2425,All Attendances by Age and Gender,Age Unknown Female,&,,7
2425,All Attendances by Age and Gender,Age Unknown Male,&,Not Known,21
2425,First Attendances by Age and Gender,0 All Genders,&,,2011
2425,First Attendances by Age and Gender,0 Female,&,,887
2425,First Attendances by Age and Gender,0 Male,&,,1124
2425,First Attendances by Age and Gender,10-14 All Genders,&,,4951
2425,First Attendances by Age and Gender,10-14 Female,&,,2296
2425,First Attendances by Age and Gender,10-14 Male,&,,2655
2425,First Attendances by Age and Gender,1-4 All Genders,&,,6022
2425,First Attendances by Age and Gender,1-4 Female,&,,2044
2425,First Attendances by Age and Gender,1-4 Male,&,,3978
2425,First Attendances by Age and Gender,15 All Genders,&,,1158
2425,First Attendances by Age and Gender,15 Female,&,,661
2425,First Attendances by Age and Gender,15 Male,&,,497
2425,First Attendances by Age and Gender,16 All Genders,&,,857
2425,First Attendances by Age and Gender,16 Female,&,,456
2425,First Attendances by Age and Gender,16 Male,&,,398
2425,First Attendances by Age and Gender,17 All Genders,&,,746
2425,First Attendances by Age and Gender,17 Female,&,,376
2425,First Attendances by Age and Gender,17 Male,&,,369
2425,First Attendances by Age and Gender,18 All Genders,&,,421
2425,First Attendances by Age and Gender,18 Female,&,,228
2425,First Attendances by Age and Gender,18 Male,&,,191
2425,First Attendances by Age and Gender,19 All Genders,&,,412
2425,First Attendances by Age and Gender,19 Female,&,,241
2425,First Attendances by Age and Gender,19 Male,&,,171
2425,First Attendances by Age and Gender,20-24 All Genders,&,,1849
2425,First Attendances by Age and Gender,20-24 Female,&,,1199
2425,First Attendances by Age and Gender,20-24 Male,&,,650
2425,First Attendances by Age and Gender,25-29 All Genders,&,,1563
2425,First Attendances by Age and Gender,25-29 Female,&,,983
2425,First Attendances by Age and Gender,25-29 Male,&,,578
2425,First Attendances by Age and Gender,30-34 All Genders,&,,1665
2425,First Attendances by Age and Gender,30-34 Female,&,,1029
2425,First Attendances by Age and Gender,30-34 Male,&,,635
2425,First Attendances by Age and Gender,35-39 All Genders,&,,1730
2425,First Attendances by Age and Gender,35-39 Female,&,,993
2425,First Attendances by Age and Gender,35-39 Male,&,,736
2425,First Attendances by Age and Gender,40-44 All Genders,&,,1585
2425,First Attendances by Age and Gender,40-44 Female,&,,907
2425,First Attendances by Age and Gender,40-44 Male,&,,675
2425,First Attendances by Age and Gender,45-49 All Genders,&,,1439
2425,First Attendances by Age and Gender,45-49 Female,&,,835
2425,First Attendances by Age and Gender,45-49 Male,&,,603
2425,First Attendances by Age and Gender,50-54 All Genders,&,,1775
2425,First Attendances by Age and Gender,50-54 Female,&,,967
2425,First Attendances by Age and Gender,50-54 Male,&,,807
2425,First Attendances by Age and Gender,55-59 All Genders,&,,1865
2425,First Attendances by Age and Gender,55-59 Female,&,,1020
2425,First Attendances by Age and Gender,55-59 Male,&,,845
2425,First Attendances by Age and Gender,5-9 All Genders,&,,4485
2425,First Attendances by Age and Gender,5-9 Female,&,,1600
2425,First Attendances by Age and Gender,5-9 Male,&,,2884
2425,First Attendances by Age and Gender,60-64 All Genders,&,,1973
2425,First Attendances by Age and Gender,60-64 Female,&,,1033
2425,First Attendances by Age and Gender,60-64 Male,&,,939
2425,First Attendances by Age and Gender,65-69 All Genders,&,,1832
2425,First Attendances by Age and Gender,65-69 Female,&,,963
2425,First Attendances by Age and Gender,65-69 Male,&,,869
2425,First Attendances by Age and Gender,70-74 All Genders,&,,2081
2425,First Attendances by Age and Gender,70-74 Female,&,,1037
2425,First Attendances by Age and Gender,70-74 Male,&,,1044
2425,First Attendances by Age and Gender,75-79 All Genders,&,,2739
2425,First Attendances by Age and Gender,75-79 Female,&,,1473
2425,First Attendances by Age and Gender,75-79 Male,&,,1266
2425,First Attendances by Age and Gender,80-84 All Genders,&,,2567
2425,First Attendances by Age and Gender,80-84 Female,&,,1473
2425,First Attendances by Age and Gender,80-84 Male,&,,1094
2425,First Attendances by Age and Gender,85-89 All Genders,&,,1898
2425,First Attendances by Age and Gender,85-89 Female,&,,1097
2425,First Attendances by Age and Gender,85-89 Male,&,,801
2425,First Attendances by Age and Gender,90-120 All Genders,&,,1041
2425,First Attendances by Age and Gender,90-120 Female,&,,660
2425,First Attendances by Age and Gender,90-120 Male,&,,381
2425,First Attendances by Age and Gender,Age Unknown All Genders,&,,5
2425,First Attendances by Age and Gender,Age Unknown Female,&,,2
2425,First Attendances by Age and Gender,Age Unknown Male,&,,3
2425,All Attendances by Age and Gender,0 All Genders,100,General Surgery,4371
2425,All Attendances by Age and Gender,0 All Genders,101,Urology,2989
2425,All Attendances by Age and Gender,0 All Genders,107,Vascular Surgery,3
2425,All Attendances by Age and Gender,0 All Genders,110,Trauma and Orthopaedics,48340
2425,All Attendances by Age and Gender,0 All Genders,120,Ear Nose and Throat,21799
2425,All Attendances by Age and Gender,0 All Genders,130,Ophthalmology,39569
2425,All Attendances by Age and Gender,0 All Genders,140,Oral Surgery,4453
2425,All Attendances by Age and Gender,0 All Genders,141,Restorative Dentistry,3
2425,All Attendances by Age and Gender,0 All Genders,142,Paediatric Dentistry,438
2425,All Attendances by Age and Gender,0 All Genders,143,Orthodontics,150
2425,All Attendances by Age and Gender,0 All Genders,145,Oral and Maxillofacial Surgery,3757
2425,All Attendances by Age and Gender,0 All Genders,150,Neurosurgery,3107
2425,All Attendances by Age and Gender,0 All Genders,160,Plastic Surgery,12764
2425,All Attendances by Age and Gender,0 All Genders,170,Cardiothoracic Surgery,862
2425,All Attendances by Age and Gender,0 All Genders,171,Paediatric Surgery,22992
2425,All Attendances by Age and Gender,0 All Genders,180,Emergency Medicine,4554
2425,All Attendances by Age and Gender,0 All Genders,190,Anaesthetics,2075
2425,All Attendances by Age and Gender,0 All Genders,192,Intensive Care Medicine,697
2425,All Attendances by Age and Gender,0 All Genders,300,General Internal Medicine,66448
2425,All Attendances by Age and Gender,0 All Genders,301,Gastroenterology,770
2425,All Attendances by Age and Gender,0 All Genders,302,Endocrinology and Diabetes,2038
2425,All Attendances by Age and Gender,0 All Genders,303,Clinical Haematology,2042
2425,All Attendances by Age and Gender,0 All Genders,304,Clinical Physiology,625
2425,All Attendances by Age and Gender,0 All Genders,310,Audio Vestibular Medicine,7815
2425,All Attendances by Age and Gender,0 All Genders,311,Clinical Genetics,3402
2425,All Attendances by Age and Gender,0 All Genders,313,Clinical Immunology,1232
2425,All Attendances by Age and Gender,0 All Genders,314,Rehabilitation Medicine,31
2425,All Attendances by Age and Gender,0 All Genders,315,Palliative Medicine,1461
2425,All Attendances by Age and Gender,0 All Genders,317,Allergy,601
2425,All Attendances by Age and Gender,0 All Genders,320,Cardiology,6270
2425,All Attendances by Age and Gender,0 All Genders,321,Paediatric Cardiology,19601
2425,All Attendances by Age and Gender,0 All Genders,326,Acute Internal Medicine,11
2425,All Attendances by Age and Gender,0 All Genders,330,Dermatology,14693
2425,All Attendances by Age and Gender,0 All Genders,340,Respiratory Medicine,3781
2425,All Attendances by Age and Gender,0 All Genders,350,Infectious Diseases,217
2425,All Attendances by Age and Gender,0 All Genders,360,Genitourinary Medicine,36
2425,All Attendances by Age and Gender,0 All Genders,361,Renal Medicine,950
2425,All Attendances by Age and Gender,0 All Genders,370,Medical Oncology,340
2425,All Attendances by Age and Gender,0 All Genders,371,Nuclear Medicine,40
2425,All Attendances by Age and Gender,0 All Genders,400,Neurology,2815
2425,All Attendances by Age and Gender,0 All Genders,401,Clinical Neurophysiology,1654
2425,All Attendances by Age and Gender,0 All Genders,410,Rheumatology,54
2425,All Attendances by Age and Gender,0 All Genders,420,Paediatrics,418760
2425,All Attendances by Age and Gender,0 All Genders,421,Paediatric Neurology,1990
2425,All Attendances by Age and Gender,0 All Genders,430,Geriatric Medicine,8
2425,All Attendances by Age and Gender,0 All Genders,450,Dental Medicine,42
2425,All Attendances by Age and Gender,0 All Genders,451,Special Care Dentistry,5
2425,All Attendances by Age and Gender,0 All Genders,460,Medical Ophthalmology,67
2425,All Attendances by Age and Gender,0 All Genders,501,Obstetrics,15244
2425,All Attendances by Age and Gender,0 All Genders,502,Gynaecology,873
2425,All Attendances by Age and Gender,0 All Genders,560,Midwifery,215535
2425,All Attendances by Age and Gender,0 All Genders,600,General Medical Practice,543
2425,All Attendances by Age and Gender,0 All Genders,710,Adult Mental Illness,965
2425,All Attendances by Age and Gender,0 All Genders,711,Child and Adolescent Psychiatry,621
2425,All Attendances by Age and Gender,0 All Genders,713,Medical Psychotherapy,216
2425,All Attendances by Age and Gender,0 All Genders,800,Clinical Oncology,1749
2425,All Attendances by Age and Gender,0 All Genders,810,Radiology,45581
2425,All Attendances by Age and Gender,0 All Genders,820,General Pathology,1
2425,All Attendances by Age and Gender,0 All Genders,822,Chemical Pathology,25
2425,All Attendances by Age and Gender,0 All Genders,823,Haematology,585
2425,All Attendances by Age and Gender,0 All Genders,824,Histopathology,1
2425,All Attendances by Age and Gender,0 All Genders,900,Community Medicine,1124
2425,All Attendances by Age and Gender,0 All Genders,901,Occupational Medicine,26
2425,All Attendances by Age and Gender,0 All Genders,902,Community Health Services Dental,33
2425,All Attendances by Age and Gender,0 All Genders,903,Public Health Medicine,16
2425,All Attendances by Age and Gender,0 All Genders,950,Nursing,69169
2425,All Attendances by Age and Gender,0 All Genders,960,Allied Health Professional,129102
2425,All Attendances by Age and Gender,0 Female,100,General Surgery,1479
2425,All Attendances by Age and Gender,0 Female,101,Urology,454
2425,All Attendances by Age and Gender,0 Female,107,Vascular Surgery,1
2425,All Attendances by Age and Gender,0 Female,110,Trauma and Orthopaedics,27130
2425,All Attendances by Age and Gender,0 Female,120,Ear Nose and Throat,9305
2425,All Attendances by Age and Gender,0 Female,130,Ophthalmology,18715
2425,All Attendances by Age and Gender,0 Female,140,Oral Surgery,1834
2425,All Attendances by Age and Gender,0 Female,141,Restorative Dentistry,2
2425,All Attendances by Age and Gender,0 Female,142,Paediatric Dentistry,207
2425,All Attendances by Age and Gender,0 Female,143,Orthodontics,76
2425,All Attendances by Age and Gender,0 Female,145,Oral and Maxillofacial Surgery,1591
2425,All Attendances by Age and Gender,0 Female,150,Neurosurgery,1345
2425,All Attendances by Age and Gender,0 Female,160,Plastic Surgery,5599
2425,All Attendances by Age and Gender,0 Female,170,Cardiothoracic Surgery,412
2425,All Attendances by Age and Gender,0 Female,171,Paediatric Surgery,7237
2425,All Attendances by Age and Gender,0 Female,180,Emergency Medicine,1982
2425,All Attendances by Age and Gender,0 Female,190,Anaesthetics,664
2425,All Attendances by Age and Gender,0 Female,192,Intensive Care Medicine,236
2425,All Attendances by Age and Gender,0 Female,300,General Internal Medicine,31995
2425,All Attendances by Age and Gender,0 Female,301,Gastroenterology,336
2425,All Attendances by Age and Gender,0 Female,302,Endocrinology and Diabetes,944
2425,All Attendances by Age and Gender,0 Female,303,Clinical Haematology,789
2425,All Attendances by Age and Gender,0 Female,304,Clinical Physiology,303
2425,All Attendances by Age and Gender,0 Female,310,Audio Vestibular Medicine,3472
2425,All Attendances by Age and Gender,0 Female,311,Clinical Genetics,1328
2425,All Attendances by Age and Gender,0 Female,313,Clinical Immunology,471
2425,All Attendances by Age and Gender,0 Female,314,Rehabilitation Medicine,9
2425,All Attendances by Age and Gender,0 Female,315,Palliative Medicine,769
2425,All Attendances by Age and Gender,0 Female,317,Allergy,252
2425,All Attendances by Age and Gender,0 Female,320,Cardiology,2827
2425,All Attendances by Age and Gender,0 Female,321,Paediatric Cardiology,9180
2425,All Attendances by Age and Gender,0 Female,326,Acute Internal Medicine,4
2425,All Attendances by Age and Gender,0 Female,330,Dermatology,7228
2425,All Attendances by Age and Gender,0 Female,340,Respiratory Medicine,1736
2425,All Attendances by Age and Gender,0 Female,350,Infectious Diseases,81
2425,All Attendances by Age and Gender,0 Female,360,Genitourinary Medicine,10
2425,All Attendances by Age and Gender,0 Female,361,Renal Medicine,276
2425,All Attendances by Age and Gender,0 Female,370,Medical Oncology,170
2425,All Attendances by Age and Gender,0 Female,371,Nuclear Medicine,16
2425,All Attendances by Age and Gender,0 Female,400,Neurology,1329
2425,All Attendances by Age and Gender,0 Female,401,Clinical Neurophysiology,810
2425,All Attendances by Age and Gender,0 Female,410,Rheumatology,34
2425,All Attendances by Age and Gender,0 Female,420,Paediatrics,187317
2425,All Attendances by Age and Gender,0 Female,421,Paediatric Neurology,892
2425,All Attendances by Age and Gender,0 Female,430,Geriatric Medicine,1
2425,All Attendances by Age and Gender,0 Female,450,Dental Medicine,26
2425,All Attendances by Age and Gender,0 Female,451,Special Care Dentistry,2
2425,All Attendances by Age and Gender,0 Female,460,Medical Ophthalmology,40
2425,All Attendances by Age and Gender,0 Female,501,Obstetrics,7324
2425,All Attendances by Age and Gender,0 Female,502,Gynaecology,402
2425,All Attendances by Age and Gender,0 Female,560,Midwifery,104503
2425,All Attendances by Age and Gender,0 Female,600,General Medical Practice,251
2425,All Attendances by Age and Gender,0 Female,710,Adult Mental Illness,405
2425,All Attendances by Age and Gender,0 Female,711,Child and Adolescent Psychiatry,276
2425,All Attendances by Age and Gender,0 Female,713,Medical Psychotherapy,134
2425,All Attendances by Age and Gender,0 Female,800,Clinical Oncology,781
2425,All Attendances by Age and Gender,0 Female,810,Radiology,21838
2425,All Attendances by Age and Gender,0 Female,820,General Pathology,1
2425,All Attendances by Age and Gender,0 Female,822,Chemical Pathology,13
2425,All Attendances by Age and Gender,0 Female,823,Haematology,225
2425,All Attendances by Age and Gender,0 Female,824,Histopathology,1
2425,All Attendances by Age and Gender,0 Female,900,Community Medicine,504
2425,All Attendances by Age and Gender,0 Female,901,Occupational Medicine,9
2425,All Attendances by Age and Gender,0 Female,902,Community Health Services Dental,23
2425,All Attendances by Age and Gender,0 Female,903,Public Health Medicine,11
2425,All Attendances by Age and Gender,0 Female,950,Nursing,31541
2425,All Attendances by Age and Gender,0 Female,960,Allied Health Professional,59902
2425,All Attendances by Age and Gender,0 Male,100,General Surgery,2892
2425,All Attendances by Age and Gender,0 Male,101,Urology,2534
2425,All Attendances by Age and Gender,0 Male,107,,2
